GEO,Description,Tag,RCategory,WeekEnding,Dollars,Units,BaseDollars,BaseUnits,PACV_FeatAndDisp,PACV_FeatWODisp,PACV_DispWOFeat,PACV_Discount,Dollars_FeatAndDisp,Dollars_Feature,Dollars_Display,Dollars_TPR,Units_FeatAndDisp,Units_Feature,Units_Display,Units_TPR,Units_EQ,BaseUnits_Feature,BaseDollars_Feature,BaseUnits_Display,BaseDollars_Display,BaseUnits_FeatAndDisp,BaseDollars_FeatAndDisp,BaseUnits_TPR,BaseDollars_TPR,EQUnitConversion,BaseUnits_EQ,Units_EQ_Feature,Units_EQ_Display,Units_EQ_FeatAndDisp,Units_EQ_TPR,BaseUnits_EQ_Feature,BaseUnits_EQ_Display,BaseUnits_EQ_FeatAndDisp,BaseUnits_EQ_TPR,Units_AnyPromo,Dollars_AnyPromo,BaseDollars_AnyPromo,BaseUnits_AnyPromo,Units_EQ_AnyPromo,BaseUnits_EQ_AnyPromo,Units_NoPromo,Dollars_NoPromo,BaseDollars_NoPromo,BaseUnits_NoPromo,Units_EQ_NoPromo,BaseUnits_EQ_NoPromo,Units_FeatAndOrDisp,Dollars_FeatAndOrDisp,BaseDollars_FeatAndOrDisp,BaseUnits_FeatAndOrDisp,Units_EQ_FeatAndOrDisp,BaseUnits_EQ_FeatAndOrDisp,ACV
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 12 OZ,NS.600654,DAILY HAIR CARE,1/21/2017,391,171,432,184,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0.801169591,147.4152047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,391,432,184,137,147.4152047,0,0,0,0,0,0,3
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 12 OZ,NS.600654,DAILY HAIR CARE,1/28/2017,466,202,512,230,0,0,0,0,0,0,0,1,0,0,0,1,162,0,0,0,0,0,0,3,8,0.801980198,184.4554455,0,0,0,0.801980198,0,0,0,2.405940594,1,1,8,3,0.801980198,2.405940594,201,465,504,227,161.1980198,182.049505,0,0,0,0,0,0,3
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 25 OZ,NS.600662,DAILY HAIR CARE,1/7/2017,83,20,229,49,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1.7,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,83,229,49,34,83.3,0,0,0,0,0,0,1
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 25 OZ,NS.600662,DAILY HAIR CARE,1/14/2017,152,32,255,52,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,1.6875,87.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,152,255,52,54,87.75,0,0,0,0,0,0,1
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 25 OZ,NS.600662,DAILY HAIR CARE,1/21/2017,174,38,220,46,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1.657894737,76.26315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,174,220,46,63,76.26315789,0,0,0,0,0,0,1
NEW YORK - AOCxp,WASH & CARE VIDAL SASSOON 25 OZ,NS.600662,DAILY HAIR CARE,1/28/2017,185,41,208,44,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,1.682926829,74.04878049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,185,208,44,69,74.04878049,0,0,0,0,0,0,1
NEW YORK - AOCxp,WASH & CARE WHITE RAIN 18 OZ,NS.588028,DAILY HAIR CARE,1/7/2017,4276,3914,3983,3639,0,0,2,0,0,0,591,0,0,0,569,0,4004,0,0,316,334,0,0,0,0,1.022994379,3722.676546,0,582.0838017,0,0,0,323.2662238,0,0,569,591,334,316,582.0838017,323.2662238,3345,3685,3649,3323,3421.916198,3399.410322,569,591,334,316,582.0838017,323.2662238,21
NEW YORK - AOCxp,WASH & CARE WHITE RAIN 18 OZ,NS.588028,DAILY HAIR CARE,1/14/2017,4145,3827,4032,3705,0,0,1,0,0,0,120,0,0,0,105,0,3906,0,0,74,88,0,0,0,0,1.020642801,3781.481578,0,107.1674941,0,0,0,75.52756729,0,0,105,120,88,74,107.1674941,75.52756729,3722,4025,3944,3631,3798.832506,3705.954011,105,120,88,74,107.1674941,75.52756729,21
NEW YORK - AOCxp,WASH & CARE WHITE RAIN 18 OZ,NS.588028,DAILY HAIR CARE,1/21/2017,2946,2744,3131,2845,0,0,1,0,0,0,251,14,0,0,246,15,2804,0,0,238,242,0,0,2,2,1.021865889,2907.208455,0,251.3790087,0,15.32798834,0,243.2040816,0,2.043731778,261,265,244,240,266.7069971,245.2478134,2483,2681,2887,2605,2537.293003,2661.960641,246,251,242,238,251.3790087,243.2040816,21
NEW YORK - AOCxp,WASH & CARE WHITE RAIN 18 OZ,NS.588028,DAILY HAIR CARE,1/28/2017,10039,12534,3410,3126,4,14,2,3,1530,7014,265,303,1940,9086,276,309,12781,1678,1743,155,178,309,340,116,146,1.019706399,3187.602202,9265.052338,281.438966,1978.230413,315.0892772,1711.067337,158.0544918,315.0892772,118.2859422,11611,9112,2407,2258,11839.81099,2302.497048,923,927,1003,868,941.1890059,885.105154,11302,8809,2261,2142,11524.72172,2184.211106,21
NEW YORK - AOCxp,WHITE RAIN 18OZ,NS.248293,DAILY HAIR CARE,1/7/2017,4276,3914,3983,3639,0,0,2,0,0,0,591,0,0,0,569,0,4004,0,0,316,334,0,0,0,0,1.022994379,3722.676546,0,582.0838017,0,0,0,323.2662238,0,0,569,591,334,316,582.0838017,323.2662238,3345,3685,3649,3323,3421.916198,3399.410322,569,591,334,316,582.0838017,323.2662238,21
NEW YORK - AOCxp,WHITE RAIN 18OZ,NS.248293,DAILY HAIR CARE,1/14/2017,4145,3827,4032,3705,0,0,1,0,0,0,120,0,0,0,105,0,3906,0,0,74,88,0,0,0,0,1.020642801,3781.481578,0,107.1674941,0,0,0,75.52756729,0,0,105,120,88,74,107.1674941,75.52756729,3722,4025,3944,3631,3798.832506,3705.954011,105,120,88,74,107.1674941,75.52756729,21
NEW YORK - AOCxp,WHITE RAIN 18OZ,NS.248293,DAILY HAIR CARE,1/21/2017,2946,2744,3131,2845,0,0,1,0,0,0,251,14,0,0,246,15,2804,0,0,238,242,0,0,2,2,1.021865889,2907.208455,0,251.3790087,0,15.32798834,0,243.2040816,0,2.043731778,261,265,244,240,266.7069971,245.2478134,2483,2681,2887,2605,2537.293003,2661.960641,246,251,242,238,251.3790087,243.2040816,21
